# RSI,MACD,MACD,MACD,WILLR,STOCH,STOCH,STOCHRSI,STOCHRSI,CCI,ROC,OBV,AD,MOM,SMA,WMA,EMA,TSF,BBANDS,BBANDS,BBANDS,TEMA,ADX,MFI,ATR,DS5,DS10,DW5,DW10,OCRSI
5.499867381421839241e+01,3.496019103618408508e-01,1.083676582308390923e+00,-7.340746719465500725e-01,-5.413223140495868790e+01,3.365430327169014646e+01,1.601456679395053584e+01,0.000000000000000000e+00,4.736951571734000976e-15,-4.152313671553476127e+01,2.289857837992403944e-01,9.479540500000000000e+07,2.117243727623733878e+07,2.399999999999948841e-01,1.079100000000000108e+02,1.078759999999999764e+02,1.070759221647096240e+02,1.077853333333333410e+02,1.111333619333845633e+02,1.075979999999999563e+02,1.040626380666153494e+02,nan,nan,6.249786022160977694e+01,3.357037284680343792e+00,9.763192624398226993e-01,9.734964322120284175e-01,9.839090364154045032e-01,9.738032555897513376e-01,6.658267602960449949e+01
5.745719247356156956e+01,1.673759112721171505e-01,7.782430252962997397e-01,-6.108671140241825892e-01,-4.634986225895310952e+01,2.032206468421816936e+01,1.197195657667299429e+01,2.050970128027607942e+01,6.836567093425364838e+00,-1.866755524525834886e+01,1.763465593252822039e+00,9.942721900000000000e+07,2.053167249362865463e+07,1.840000000000003411e+00,1.080940000000000083e+02,1.075614545454545095e+02,1.069130272256715131e+02,1.061413333333332503e+02,1.095988179277705825e+02,1.068499999999999517e+02,1.041011820722293209e+02,1.063396333158336944e+02,3.077955177572586010e+01,6.114123590219185900e+01,3.300820335774605763e+00,9.937295273748250057e-01,9.822931892611985738e-01,9.989149727488810804e-01,9.871566022299307352e-01,6.694603197498318536e+01
5.218598565224551322e+01,-2.281655539367903884e-01,4.427734988852697340e-01,-6.709390528220601224e-01,-5.971074380165291728e+01,1.481028657310385199e+01,1.644433634868797967e+01,0.000000000000000000e+00,6.836567093425364838e+00,-8.452727171430188946e+01,-2.002444298204386630e+00,9.551172500000000000e+07,1.987369691787106171e+07,-2.130000000000009663e+00,1.078810000000000002e+02,1.068607272727272317e+02,1.064270222755494189e+02,1.041399999999999437e+02,1.081263445562397152e+02,1.058739999999999526e+02,1.036216554437601900e+02,1.051722351744893871e+02,2.880461601731007448e+01,6.317979105012287988e+01,3.324333168933562455e+00,9.845665602508646419e-01,9.662498493710661718e-01,9.887566555793032563e-01,9.754753000507034866e-01,5.403764764165465806e+01
4.820868087896412391e+01,-6.924494896182977755e-01,6.436583605074719383e-02,-7.568153256690449693e-01,-9.449035812672167367e+01,1.556918583297668057e+01,1.829126457356902691e+01,0.000000000000000000e+00,6.836567093425364838e+00,-1.157052373493152828e+02,-5.462920313219710167e+00,9.073135600000000000e+07,1.647894212076963112e+07,-5.929999999999992610e+00,1.072880000000000109e+02,1.059041818181817547e+02,1.057348364072677072e+02,1.022140000000000697e+02,1.076676705006241264e+02,1.048999999999999488e+02,1.021323294993757713e+02,1.036863769553341683e+02,2.722872595600491863e+01,5.905408500872049160e+01,3.382595085438307780e+00,9.782650142993332132e-01,9.564909402729102617e-01,9.835091463219829411e-01,9.689891205257589180e-01,6.081779798065741005e+01
4.597266166325479020e+01,-1.085584573112356566e+00,-3.189509670036207445e-01,-7.666336061087357656e-01,-8.140376266280756568e+01,1.839504369351832125e+01,2.044953015829792164e+01,0.000000000000000000e+00,4.736951571734000976e-15,-1.640540253110705464e+02,-7.808107372812189695e+00,8.008703600000000000e+07,1.951257332076959312e+07,-8.609999999999999432e+00,1.064270000000000209e+02,1.048809090909090429e+02,1.049939570604917662e+02,1.007580000000000524e+02,1.072094478059957368e+02,1.039499999999999602e+02,1.006905521940041837e+02,1.023065075724338868e+02,2.671226846140703159e+01,5.272248567330741764e+01,3.426695436478428558e+00,9.779701779701782671e-01,9.552087346256117328e-01,9.844987765589985340e-01,9.692898438922071813e-01,6.128808270409834336e+01
5.080995838239896756e+01,-1.011969947777586754e+00,-5.499572939282760808e-01,-4.620126538493106727e-01,-6.772793053545588293e+01,2.315307219972503461e+01,3.071842186730811974e+01,4.212010746492970270e+01,1.404003582164323838e+01,-9.306606668030279650e+01,-7.196630220469623751e+00,8.878476300000000000e+07,2.076705317653881386e+07,-8.030000000000001137e+00,1.056240000000000236e+02,1.043578181818181179e+02,1.047314194131296290e+02,1.009813333333333105e+02,1.067198534167005164e+02,1.036499999999999488e+02,1.005801465832993813e+02,1.023064268067137164e+02,2.566798354044625441e+01,5.891536035581128772e+01,3.380502905301398187e+00,9.990352146647375475e-01,9.803643111414069855e-01,1.004098493125002989e+00,9.922591503359078358e-01,6.012238965081777309e+01
5.496820171313090242e+01,-6.670234446021083841e-01,-5.889793441528868856e-01,-7.804410044922149847e-02,-5.463096960926194612e+01,3.579596708379595782e+01,5.621994922578178944e+01,1.000000000000000000e+02,4.737336915497657941e+01,-4.212271973466037167e+01,-4.148471615720527694e+00,1.005562860000000000e+08,2.385110532783030719e+07,-4.560000000000002274e+00,1.051680000000000348e+02,1.043098181818181018e+02,1.048457067925606054e+02,1.020213333333333168e+02,1.060423599120671980e+02,1.034859999999999474e+02,1.009296400879326967e+02,1.031980844754745306e+02,2.396439909742915475e+01,5.884985564781432998e+01,3.339752697779869717e+00,1.018108729683242730e+00,1.001825650387950351e+00,1.016033842078869487e+00,1.010067909584037027e+00,6.393014235388889688e+01
5.087412694128261847e+01,-6.571776898170327286e-01,-6.117121260409354999e-01,-4.546556377609722865e-02,-6.620839363241675812e+01,5.150917700596716742e+01,6.758915992481155399e+01,5.448772670513908878e+01,6.553594472335628041e+01,-6.626762436818302149e+01,-4.912023460410552822e+00,9.476308700000000000e+07,2.277489839897655696e+07,-5.359999999999999432e+00,1.046320000000000334e+02,1.040538181818181016e+02,1.046483055575495911e+02,1.025120000000000573e+02,1.058604979255263032e+02,1.033899999999999437e+02,1.009195020744735842e+02,1.031288708845482631e+02,2.269922928048531929e+01,3.945857756138351391e+01,3.289056076509878856e+00,1.003578682657897847e+00,9.916660295129594571e-01,9.997237977171549161e-01,9.971762863972497559e-01,6.681618943990230264e+01
5.193434807090665828e+01,-5.614689546499818107e-01,-5.949644022439509738e-01,3.349544759396916316e-02,-6.302460202604918749e+01,6.579973514556689906e+01,7.359009628610731113e+01,6.627380206854810751e+01,7.358717625789574868e+01,-4.804662793978861401e+01,-3.060749837194154388e+00,1.041513560000000000e+08,2.055822377397653088e+07,-3.289999999999992042e+00,1.043030000000000399e+02,1.039752727272726531e+02,1.045667954561769335e+02,1.031013333333333151e+02,1.061048530592827603e+02,1.037059999999999462e+02,1.013071469407171321e+02,1.033264361524943666e+02,2.152442873618032948e+01,5.243113014393737359e+01,3.156980642473458776e+00,1.004763465951825863e+00,9.990124924498812176e-01,1.001358208190250343e+00,1.002161353048977466e+00,6.947720544356651828e+01
6.091516292735240512e+01,1.414739017645416652e-01,-3.494849675744534645e-01,4.909588693389951297e-01,-2.865761689291100822e+01,7.083600699060544059e+01,7.132876476089744244e+01,1.000000000000000000e+02,7.358717625789574868e+01,6.459842019968500892e+01,2.011089183347425369e+00,1.376141480000000000e+08,3.593302009830076247e+07,2.140000000000000568e+00,1.045170000000000528e+02,1.047474545454544597e+02,1.052910144641447658e+02,1.053619999999999948e+02,1.087693135551854766e+02,1.050839999999999463e+02,1.013986864448144161e+02,1.054649576396864177e+02,2.123778846727460490e+01,5.378306150626611526e+01,3.356482025153926241e+00,1.032983137299684495e+00,1.038587024120477542e+00,1.027222257270833161e+00,1.036302032073681101e+00,7.021010180664472955e+01
