Date,,Open,High,Low,Close,Shares Traded
06-Sep-2000,,1430.9,1444.45,1421,1435.35,0
07-Sep-2000,,1434.7,1450.2,1424.35,1439.75,0
08-Sep-2000,,1440.6,1453.15,1440.6,1450.05,0
11-Sep-2000,,1449.35,1469,1448.95,1456.35,0
12-Sep-2000,,1457.1,1470.55,1447.8,1467.65,0
13-Sep-2000,,1467.65,1482,1452.6,1456.15,0
14-Sep-2000,,1456.75,1466.65,1437.85,1445.3,0
15-Sep-2000,,1443.25,1451.05,1411.55,1417.2,0
18-Sep-2000,,1416.05,1416.05,1352.1,1354.35,0
19-Sep-2000,,1351.8,1361.7,1295.3,1317,0
20-Sep-2000,,1317.8,1351.1,1311.1,1342.9,0
21-Sep-2000,,1341.65,1347.4,1325.75,1329.85,0
22-Sep-2000,,1329.1,1329.1,1261.2,1266.45,0
25-Sep-2000,,1268.4,1305.1,1268.4,1292.55,0
26-Sep-2000,,1292.9,1298.25,1261,1267.9,0
27-Sep-2000,,1267.45,1299,1249.35,1292.55,0
28-Sep-2000,,1292.4,1302.75,1260.8,1266.4,0
29-Sep-2000,,1267.3,1284.15,1264.4,1271.65,0
03-Oct-2000,,1270.75,1288.15,1254.35,1282,0
04-Oct-2000,,1281.45,1300.05,1275.8,1297.8,0
05-Oct-2000,,1296.1,1306.45,1282.5,1284.75,0
06-Oct-2000,,1284.35,1287.85,1262.65,1285,0
09-Oct-2000,,1285.05,1286.35,1264.2,1267.3,0
10-Oct-2000,,1268.7,1272.75,1230.05,1238.95,0
11-Oct-2000,,1232.85,1234.1,1193.8,1201.9,0
12-Oct-2000,,1201.3,1214.35,1185.1,1206.25,0
13-Oct-2000,,1205.7,1205.7,1167.5,1176.75,0
16-Oct-2000,,1177.85,1228.8,1173.35,1175.45,0
17-Oct-2000,,1174.3,1174.3,1140.6,1158.05,0
18-Oct-2000,,1157.05,1157.05,1122.8,1136,0
19-Oct-2000,,1135.65,1171.5,1108.2,1166.15,0
20-Oct-2000,,1166.2,1202.7,1166.2,1172,0
23-Oct-2000,,1171.75,1172.15,1141.45,1143.95,0
24-Oct-2000,,1143,1155.35,1132.9,1152.45,0
25-Oct-2000,,1158.2,1190.4,1157.25,1183.9,0
26-Oct-2000,,1182.8,1188.2,1176.6,1186.3,0
27-Oct-2000,,1186.95,1192.9,1171.85,1178.7,0
30-Oct-2000,,1178.75,1185.8,1164.25,1167.15,0
31-Oct-2000,,1167.2,1175.6,1155.15,1172.75,0
01-Nov-2000,,1178.25,1203.85,1177.1,1200.8,0
02-Nov-2000,,1201.25,1226.35,1199.75,1224.85,0
03-Nov-2000,,1225,1249.2,1225,1242.05,0
06-Nov-2000,,1242.15,1261.4,1236.65,1240.25,0
07-Nov-2000,,1239,1249.1,1232.35,1246.75,0
08-Nov-2000,,1246.65,1277.25,1246.65,1266.8,0
09-Nov-2000,,1266.75,1275.55,1255.95,1269.95,0
10-Nov-2000,,1271.35,1271.4,1237.5,1239.55,0
13-Nov-2000,,1239.35,1239.35,1199.95,1208.05,0
14-Nov-2000,,1207.2,1246.9,1207.05,1242.85,0
15-Nov-2000,,1245,1270.1,1243.2,1247.05,0
16-Nov-2000,,1246.6,1254.55,1228.6,1233.25,0
17-Nov-2000,,1232.35,1238,1216.9,1236,0
20-Nov-2000,,1236,1241.75,1231.05,1237.6,0
21-Nov-2000,,1236.95,1237.85,1224.3,1235,0
22-Nov-2000,,1235.85,1247.5,1220.05,1222.35,0
23-Nov-2000,,1221.2,1223.05,1209.85,1216,0
24-Nov-2000,,1216.05,1230,1216.05,1225.2,0
27-Nov-2000,,1225.4,1254.45,1225.35,1252.9,0
28-Nov-2000,,1252.9,1275.45,1248.9,1272.75,0
29-Nov-2000,,1272.25,1281,1253.45,1264.75,0
30-Nov-2000,,1264.75,1272.1,1258.4,1268.15,0
01-Dec-2000,,1268.1,1280.5,1255.2,1276.2,0
04-Dec-2000,,1276.25,1290,1273.65,1275.6,0
05-Dec-2000,,1275.7,1288.2,1275.5,1284.65,0
06-Dec-2000,,1284.85,1319.85,1284.85,1298.55,0
07-Dec-2000,,1298.9,1308.45,1295.1,1302.5,0
08-Dec-2000,,1303.3,1317.2,1303.3,1313.7,0
11-Dec-2000,,1313.7,1333.5,1313.7,1332.15,0
12-Dec-2000,,1332.2,1341.75,1327.6,1333.35,0
13-Dec-2000,,1333.8,1360.8,1333.8,1354.3,0
14-Dec-2000,,1354.45,1369.5,1346.15,1349.35,0
