"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Feb-2005","     2090.00","     2103.40","     2059.45","     2068.80","       68533655","         2600.84"
"17-Feb-2005","     2069.10","     2069.15","     2045.85","     2061.90","       63853254","         2308.49"
"18-Feb-2005","     2062.45","     2076.70","     2048.85","     2055.55","       63673961","         2182.69"
"21-Feb-2005","     2055.15","     2065.75","     2039.90","     2043.20","       46917742","         1846.09"
"22-Feb-2005","     2043.40","     2061.65","     2036.60","     2058.40","       51898487","         1911.09"
"23-Feb-2005","     2058.70","     2065.15","     2051.35","     2057.10","       52493127","         2009.68"
"24-Feb-2005","     2057.75","     2070.50","     2052.40","     2055.30","       76500198","         2958.62"
"25-Feb-2005","     2057.30","     2081.85","     2051.20","     2060.90","       66309002","         2562.10"
"28-Feb-2005","     2061.20","     2106.20","     2047.70","     2103.25","      103139340","         3705.33"
"01-Mar-2005","     2103.10","     2115.10","     2073.80","     2084.40","       71289743","         2868.92"
"02-Mar-2005","     2084.60","     2096.35","     2080.55","     2093.25","       78599088","         2708.28"
"03-Mar-2005","     2093.40","     2132.75","     2093.35","     2128.85","       84295271","         2958.87"
"04-Mar-2005","     2129.10","     2152.75","     2129.10","     2148.15","       78283092","         3187.89"
"07-Mar-2005","     2148.25","     2166.85","     2143.05","     2160.10","       86791264","         3325.05"
"08-Mar-2005","     2160.65","     2173.85","     2154.00","     2168.95","       78378567","         3073.68"
"09-Mar-2005","     2169.10","     2183.45","     2141.35","     2160.80","       81074126","         2946.37"
"10-Mar-2005","     2160.85","     2170.20","     2145.75","     2167.40","       61889887","         2568.44"
"11-Mar-2005","     2167.70","     2182.10","     2148.70","     2154.00","       70474058","         2644.55"
"14-Mar-2005","     2153.80","     2164.15","     2140.90","     2146.35","       73875042","         2327.55"
"15-Mar-2005","     2146.55","     2151.35","     2122.00","     2128.95","       60049989","         2053.60"
"16-Mar-2005","     2129.35","     2158.90","     2121.10","     2125.55","       75512834","         2276.67"
"17-Mar-2005","     2123.95","     2126.55","     2090.45","     2098.50","       62045976","         2188.35"
"18-Mar-2005","     2097.75","     2112.25","     2077.20","     2109.15","       83945077","         2666.63"
"21-Mar-2005","     2117.95","     2124.80","     2089.35","     2096.60","       62125033","         1955.72"
"22-Mar-2005","     2096.75","     2099.00","     2056.50","     2061.60","       57631155","         2149.92"
"23-Mar-2005","     2061.20","     2067.45","     2019.85","     2026.40","       91449560","         3331.97"
"24-Mar-2005","     2026.60","     2042.45","     2007.35","     2015.40","       70928621","         2861.24"
"28-Mar-2005","     2015.75","     2046.85","     2015.25","     2029.45","       51850957","         2066.11"
"29-Mar-2005","     2029.40","     2032.65","     1971.55","     1983.85","       69687568","         2495.85"
"30-Mar-2005","     1983.65","     2000.45","     1971.15","     1993.70","       69953686","         2609.45"
"31-Mar-2005","     1994.50","     2043.60","     1994.50","     2035.65","       91752570","         3643.64"
"01-Apr-2005","     2035.90","     2071.20","     2024.25","     2067.65","       63209440","         2457.48"
"04-Apr-2005","     2067.65","     2076.60","     2054.90","     2063.40","       64426298","         2572.53"
"05-Apr-2005","     2063.20","     2077.95","     2043.70","     2052.55","       54691988","         2170.90"
"06-Apr-2005","     2054.00","     2073.10","     2051.30","     2069.30","       53943729","         2012.74"
"07-Apr-2005","     2069.15","     2084.90","     2048.05","     2052.85","       48150317","         1908.38"
"08-Apr-2005","     2053.05","     2057.50","     2024.80","     2031.20","       42153310","         1904.94"
"11-Apr-2005","     2032.75","     2033.00","     2001.85","     2008.20","       38487508","         1439.27"
"12-Apr-2005","     2002.75","     2027.80","     2002.75","     2024.95","       35572259","         1523.65"
"13-Apr-2005","     2024.90","     2038.85","     2018.10","     2025.45","       44910337","         1841.10"
"15-Apr-2005","     2022.50","     2022.50","     1952.75","     1956.30","       64717231","         2402.78"
"18-Apr-2005","     1955.50","     1959.25","     1914.85","     1927.80","       70752264","         2207.34"
"19-Apr-2005","     1927.90","     1961.15","     1902.80","     1909.40","       61369260","         2472.94"
"20-Apr-2005","     1908.50","     1941.85","     1902.90","     1929.70","       74597233","         3002.34"
"21-Apr-2005","     1930.50","     1950.00","     1911.40","     1948.55","       58531700","         2306.95"
"22-Apr-2005","     1950.60","     1972.95","     1950.00","     1967.35","       55286066","         2400.13"
"25-Apr-2005","     1968.45","     1974.20","     1952.40","     1970.95","       53653518","         2018.36"
"26-Apr-2005","     1971.05","     1972.85","     1951.80","     1957.10","       51302647","         1737.57"
"27-Apr-2005","     1959.45","     1962.20","     1930.35","     1935.40","       62035956","         2583.88"
"28-Apr-2005","     1935.65","     1950.25","     1921.05","     1941.30","       82325185","         3367.57"
"29-Apr-2005","     1943.20","     1943.20","     1896.30","     1902.50","       64304715","         2330.24"
"02-May-2005","     1903.10","     1925.60","     1898.15","     1916.75","       60560833","         1966.87"
"03-May-2005","     1916.95","     1940.10","     1911.00","     1920.70","       51921972","         1810.72"
"04-May-2005","     1920.50","     1944.45","     1920.15","     1942.60","       48177637","         1693.39"
"05-May-2005","     1942.60","     1973.35","     1942.05","     1963.30","       53020698","         1922.52"
"06-May-2005","     1962.30","     1984.40","     1947.30","     1977.50","       52715637","         2102.13"
"09-May-2005","     1978.05","     2003.15","     1978.05","     2000.75","       51489665","         2001.09"
"10-May-2005","     2001.00","     2007.80","     1989.10","     1994.30","       56034583","         2185.95"
"11-May-2005","     1990.55","     1991.85","     1975.05","     1985.95","       44567833","         1758.58"
"12-May-2005","     1985.95","     1999.85","     1981.95","     1993.15","       36125196","         1412.84"
"13-May-2005","     1992.50","     1992.75","     1978.90","     1988.30","       36652241","         1454.07"
"16-May-2005","     1991.50","     2014.95","     1989.70","     2012.60","       38016370","         1603.39"
"17-May-2005","     2013.10","     2024.60","     1984.75","     1990.80","       48666725","         1905.96"
"18-May-2005","     1990.65","     1990.95","     1964.65","     1982.75","       51569522","         2202.54"
"19-May-2005","     1983.15","     2008.35","     1983.15","     1990.85","       42626009","         1760.45"
"20-May-2005","     1991.85","     1998.20","     1975.95","     1992.40","       41636877","         1764.90"
"23-May-2005","     1992.10","     2019.35","     1991.70","     2013.90","       37691431","         1366.18"
"24-May-2005","     2016.00","     2031.90","     2009.55","     2028.60","       56757502","         1888.61"
"25-May-2005","     2028.55","     2047.45","     2019.00","     2043.85","       76579699","         2273.23"
"26-May-2005","     2043.50","     2078.65","     2025.65","     2074.70","       88187689","         3630.71"
"27-May-2005","     2073.25","     2099.35","     2069.50","     2076.40","       73791013","         2845.14"
"30-May-2005","     2076.55","     2086.85","     2064.85","     2072.40","       54670426","         2179.67"
"31-May-2005","     2072.50","     2091.75","     2066.55","     2087.55","       45872849","         2041.23"
