open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
357.40,	358.85,	348.65,	351.70,	4309250.00,	3.54,	-96.46,	-0.00466959,	74747250.00,	285.82,	322.75,	357.01,	358.99,	80.37,	358.96,	363.51,	-1,	-1,	-1
352.88,	353.50,	342.67,	343.73,	6907000.00,	-13.98,	-113.98,	-0.04823481,	67840250.00,	285.49,	322.00,	357.90,	358.62,	81.91,	359.03,	361.62,	-1,	-1,	-1
344.67,	349.00,	342.33,	348.08,	7313000.00,	13.14,	-86.86,	-0.02662192,	75153250.00,	282.01,	320.69,	354.19,	358.29,	76.97,	357.34,	360.73,	1,	-1,	1
349.00,	350.75,	346.63,	348.00,	5949500.00,	17.36,	-82.64,	-0.02526469,	69203750.00,	280.11,	319.13,	351.38,	356.49,	78.01,	355.37,	359.07,	-1,	1,	-1
353.52,	356.00,	350.15,	353.00,	3845250.00,	37.28,	-62.72,	0.00369633,	73049000.00,	278.30,	317.69,	348.12,	354.65,	75.38,	354.37,	357.43,	1,	1,	-1
355.50,	356.00,	349.80,	353.73,	4569000.00,	40.33,	-59.67,	0.02909260,	77618000.00,	278.56,	317.36,	347.21,	353.98,	75.50,	354.41,	356.83,	1,	1,	-1
354.45,	358.75,	352.95,	357.50,	4734000.00,	58.64,	-41.36,	0.02706274,	82352000.00,	280.56,	317.40,	349.92,	353.87,	83.17,	352.98,	356.68,	1,	-1,	1
357.50,	363.95,	357.15,	362.13,	5408750.00,	76.54,	-23.46,	0.04060345,	87760750.00,	282.45,	317.04,	352.01,	352.33,	82.97,	351.74,	355.67,	1,	1,	1
362.45,	366.88,	361.05,	364.60,	4480250.00,	86.08,	-13.92,	0.03286119,	92241000.00,	285.27,	317.49,	355.48,	351.60,	73.30,	350.80,	354.66,	1,	1,	1
364.85,	368.20,	360.83,	366.90,	5152750.00,	100.08,	0.08,	0.03723179,	97393750.00,	287.59,	318.25,	358.16,	351.18,	63.03,	350.97,	354.53,	1,	1,	1
367.45,	369.90,	364.55,	366.10,	3371000.00,	91.88,	-8.12,	0.02405594,	94022750.00,	290.23,	319.77,	361.69,	352.06,	58.26,	353.34,	355.04,	-1,	1,	-1
366.50,	368.90,	364.05,	366.83,	3340750.00,	88.86,	-11.14,	0.01297876,	97363500.00,	291.95,	322.00,	364.43,	354.81,	59.73,	355.73,	354.50,	1,	-1,	1
367.65,	373.40,	366.58,	370.42,	4452500.00,	101.89,	1.89,	0.01596270,	101816000.00,	292.89,	323.88,	365.90,	357.12,	70.35,	358.44,	354.25,	1,	1,	1
369.50,	373.45,	368.27,	372.23,	3959000.00,	96.23,	-3.77,	0.01452712,	105775000.00,	294.05,	326.12,	367.16,	359.93,	82.98,	360.87,	354.24,	1,	1,	1
374.15,	378.90,	372.80,	378.08,	4008000.00,	114.88,	14.88,	0.03272330,	109783000.00,	295.12,	328.04,	368.11,	362.20,	81.35,	363.48,	355.08,	1,	1,	1
379.25,	380.75,	376.15,	377.63,	3666250.00,	96.53,	-3.47,	0.02944143,	106116750.00,	297.51,	330.48,	370.62,	364.90,	76.05,	366.13,	357.54,	-1,	1,	-1
377.50,	378.95,	369.23,	372.00,	5003750.00,	77.23,	-22.77,	0.00426543,	101113000.00,	299.67,	332.49,	373.61,	367.26,	73.97,	368.11,	359.88,	-1,	-1,	-1
374.20,	382.38,	372.08,	381.23,	6130500.00,	101.41,	1.41,	0.02417860,	107243500.00,	299.99,	333.48,	375.03,	368.84,	70.15,	369.43,	362.30,	1,	-1,	1
382.95,	384.75,	378.52,	382.95,	4744750.00,	101.75,	1.75,	0.01288087,	111988250.00,	301.79,	335.14,	377.10,	370.45,	68.04,	370.89,	364.59,	1,	1,	0
383.00,	384.75,	379.60,	383.75,	3522500.00,	97.14,	-2.86,	0.01620634,	115510750.00,	302.76,	336.75,	377.55,	371.96,	66.01,	372.80,	367.03,	1,	1,	1
382.50,	391.45,	379.08,	389.70,	9959000.00,	115.57,	15.57,	0.04758065,	125469750.00,	303.99,	338.51,	378.66,	373.95,	59.12,	375.07,	369.27,	1,	-1,	1
389.90,	392.80,	374.67,	391.58,	12256250.00,	100.38,	0.38,	0.02714897,	137726000.00,	307.53,	340.80,	383.47,	376.35,	55.15,	377.34,	371.23,	1,	1,	1
389.00,	392.50,	375.50,	377.90,	8816000.00,	53.39,	-46.61,	-0.01318710,	128910000.00,	309.60,	342.91,	385.86,	378.51,	51.16,	379.61,	373.04,	-1,	-1,	-1
378.45,	383.33,	370.60,	375.48,	8191500.00,	45.82,	-54.18,	-0.02155049,	120718500.00,	308.59,	343.48,	386.29,	380.18,	44.54,	380.28,	374.30,	-1,	-1,	-1
377.50,	391.95,	376.63,	390.42,	7543000.00,	91.72,	-8.28,	0.00184758,	128261500.00,	306.93,	343.22,	385.68,	380.68,	39.79,	380.73,	375.74,	1,	-1,	1
392.60,	398.30,	390.08,	395.02,	8103750.00,	107.72,	7.72,	0.00878492,	136365250.00,	307.08,	344.50,	384.06,	381.78,	25.07,	383.32,	377.73,	1,	1,	1
394.95,	401.17,	392.08,	400.35,	8073500.00,	106.46,	6.46,	0.05940725,	144438750.00,	307.76,	346.80,	382.34,	384.43,	14.14,	385.05,	379.60,	1,	1,	1
401.90,	406.23,	400.05,	404.13,	5172750.00,	109.00,	9.00,	0.07630233,	149611500.00,	312.25,	348.72,	387.49,	385.82,	8.70,	386.55,	381.54,	1,	1,	1
404.00,	407.90,	393.30,	400.15,	9657750.00,	83.57,	-16.43,	0.02492188,	139953750.00,	317.98,	350.83,	395.82,	387.35,	10.13,	388.30,	382.95,	-1,	1,	-1
400.58,	404.70,	398.58,	400.63,	4747750.00,	81.20,	-18.80,	0.01420181,	144701500.00,	319.93,	352.47,	399.23,	388.97,	15.92,	388.90,	384.38,	1,	-1,	1
401.00,	407.40,	400.52,	406.38,	5116750.00,	96.07,	-3.93,	0.01506182,	149818250.00,	321.05,	353.57,	401.43,	389.70,	24.30,	388.89,	386.87,	1,	1,	1
405.85,	406.92,	401.70,	404.13,	4923000.00,	89.89,	-10.11,	0.00000000,	144895250.00,	322.26,	355.05,	402.56,	390.46,	29.20,	392.04,	388.65,	-1,	1,	-1
401.13,	402.42,	396.08,	397.85,	6920500.00,	73.06,	-26.94,	-0.00574784,	137974750.00,	322.26,	357.67,	402.19,	394.20,	24.53,	397.10,	390.14,	-1,	-1,	-1
398.00,	400.90,	390.58,	397.10,	6970750.00,	71.05,	-28.95,	-0.00881112,	131004000.00,	321.80,	359.91,	402.63,	398.68,	22.01,	399.86,	391.49,	-1,	-1,	-1
397.25,	398.80,	392.05,	393.58,	3992250.00,	61.61,	-38.39,	-0.03149761,	127011750.00,	321.09,	360.57,	402.58,	400.51,	23.51,	401.32,	392.11,	-1,	-1,	-1
395.00,	397.35,	387.52,	396.73,	5533000.00,	70.05,	-29.95,	-0.01831094,	132544750.00,	318.53,	360.43,	399.32,	401.39,	26.71,	401.49,	392.29,	1,	-1,	1
395.00,	399.00,	389.50,	390.40,	5928500.00,	53.08,	-46.92,	-0.01872565,	126616250.00,	317.05,	360.07,	396.56,	401.28,	36.30,	400.73,	394.58,	-1,	0,	-1
388.65,	391.45,	384.00,	384.75,	6773000.00,	37.94,	-62.06,	-0.03110048,	119843250.00,	315.56,	358.69,	395.06,	400.09,	55.41,	400.10,	397.70,	-1,	-1,	-1
385.02,	390.65,	381.52,	388.48,	6866500.00,	37.90,	-62.10,	-0.01295798,	126709750.00,	313.09,	357.15,	392.54,	399.26,	65.35,	399.17,	398.93,	1,	-1,	1
387.50,	392.77,	376.33,	380.58,	5447000.00,	-3.56,	-103.56,	-0.04070779,	121262750.00,	312.07,	355.94,	391.18,	398.17,	74.72,	396.96,	399.41,	-1,	1,	-1
