open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
112.80,	115.12,	111.20,	113.58,	9427500.00,	92.82,	-7.18,	0.09559178,	89888750.00,	109.12,	105.48,	107.33,	103.23,	15.79,	103.89,	100.23,	1,	1,	1
112.40,	113.40,	110.41,	112.48,	6126250.00,	86.65,	-13.35,	0.05993215,	83762500.00,	110.89,	106.65,	109.73,	104.30,	12.16,	104.92,	101.21,	-1,	-1,	1
112.20,	113.20,	108.42,	111.97,	6152500.00,	84.07,	-15.93,	0.02696506,	77610000.00,	112.06,	107.70,	111.71,	105.44,	11.24,	106.04,	102.33,	-1,	-1,	-1
107.10,	116.00,	107.10,	115.02,	5116250.00,	95.18,	-4.82,	0.01589825,	82726250.00,	113.25,	109.01,	113.12,	106.73,	9.19,	107.53,	103.63,	1,	-1,	1
114.20,	118.32,	113.34,	117.39,	7487500.00,	95.76,	-4.24,	0.03354464,	90213750.00,	114.09,	110.57,	113.41,	108.33,	7.33,	109.15,	105.08,	1,	1,	1
117.70,	119.97,	117.20,	119.74,	6223750.00,	99.02,	-0.98,	0.06454481,	96437500.00,	115.32,	112.22,	113.99,	109.96,	7.74,	111.07,	106.27,	1,	1,	1
119.80,	120.59,	117.21,	119.86,	5895000.00,	96.57,	-3.43,	0.07046530,	102332500.00,	116.80,	113.84,	115.43,	111.81,	11.64,	112.88,	107.44,	1,	1,	1
116.98,	117.10,	114.41,	115.57,	3742500.00,	75.14,	-24.86,	0.00478178,	98590000.00,	117.52,	114.79,	117.28,	113.39,	13.49,	114.17,	108.59,	-1,	-1,	-1
116.60,	118.40,	115.62,	116.27,	5030000.00,	78.60,	-21.40,	-0.00954085,	103620000.00,	117.77,	115.51,	118.19,	114.56,	17.05,	114.74,	109.93,	1,	-1,	-1
116.38,	116.93,	115.62,	116.08,	2567500.00,	76.67,	-23.33,	-0.03056623,	101052500.00,	117.50,	115.80,	118.23,	115.03,	20.14,	115.13,	111.25,	-1,	-1,	-1
115.40,	116.98,	111.74,	112.34,	8133750.00,	54.12,	-45.88,	-0.06273986,	92918750.00,	116.02,	115.67,	116.99,	115.41,	18.96,	115.65,	112.56,	-1,	-1,	-1
109.47,	110.88,	106.40,	106.89,	10523750.00,	22.99,	-77.01,	-0.07510600,	82395000.00,	113.43,	115.11,	114.85,	115.89,	16.48,	116.22,	113.56,	-1,	-1,	-1
105.96,	107.85,	103.94,	105.77,	9843750.00,	10.99,	-89.01,	-0.09030704,	72551250.00,	111.47,	114.49,	113.48,	116.35,	18.77,	116.28,	114.19,	-1,	-1,	-1
106.68,	108.20,	105.53,	106.26,	6046250.00,	13.93,	-86.07,	-0.08459683,	78597500.00,	109.47,	113.62,	111.22,	116.10,	20.23,	115.70,	114.25,	1,	1,	-1
106.78,	107.70,	103.74,	107.41,	6941250.00,	21.78,	-78.22,	-0.04388464,	85538750.00,	107.73,	112.62,	108.43,	115.23,	21.55,	114.42,	114.20,	1,	1,	1
106.74,	109.86,	103.66,	105.23,	11767500.00,	9.27,	-90.73,	-0.01552998,	73771250.00,	106.31,	111.17,	106.42,	113.67,	29.75,	112.61,	114.24,	-1,	-1,	-1
105.65,	106.68,	100.52,	101.49,	11576250.00,	4.83,	-95.17,	-0.04046516,	62195000.00,	105.23,	109.33,	105.87,	111.76,	43.10,	111.13,	114.28,	-1,	-1,	-1
102.17,	102.54,	99.20,	100.56,	8003750.00,	6.36,	-93.64,	-0.05364201,	54191250.00,	104.19,	107.83,	105.34,	110.35,	54.13,	109.37,	113.88,	-1,	-1,	-1
100.82,	102.78,	98.60,	99.42,	6062500.00,	3.73,	-96.27,	-0.07438786,	48128750.00,	102.82,	106.15,	104.20,	108.51,	64.13,	107.17,	112.97,	-1,	-1,	-1
98.03,	100.39,	96.40,	99.41,	6422500.00,	12.44,	-87.56,	-0.05530742,	41706250.00,	101.22,	104.48,	102.14,	106.40,	76.43,	105.27,	111.55,	-1,	-1,	1
102.05,	102.99,	98.00,	99.14,	7608750.00,	11.33,	-88.67,	-0.02315499,	34097500.00,	100.00,	103.16,	100.39,	104.73,	86.65,	104.28,	109.83,	-1,	1,	-1
99.22,	102.18,	98.63,	101.76,	4966250.00,	24.36,	-75.64,	0.01193317,	39063750.00,	100.06,	102.65,	99.92,	103.96,	89.97,	103.72,	108.56,	1,	-1,	1
101.98,	102.00,	98.66,	99.83,	3893750.00,	15.59,	-84.41,	0.00412392,	35170000.00,	99.91,	102.05,	99.70,	103.28,	92.99,	102.92,	107.05,	-1,	1,	-1
99.98,	101.80,	99.60,	100.83,	4947500.00,	21.53,	-78.47,	0.01428428,	40117500.00,	100.19,	101.51,	99.96,	102.42,	94.21,	101.71,	105.37,	1,	-1,	1
100.60,	102.98,	100.10,	102.14,	5650000.00,	27.89,	-72.11,	0.03026024,	45767500.00,	100.74,	100.98,	100.40,	101.25,	88.12,	100.67,	104.03,	1,	1,	1
102.06,	102.36,	95.64,	96.47,	5275000.00,	5.45,	-94.55,	-0.05198506,	40492500.00,	100.21,	100.11,	100.76,	100.32,	80.83,	100.07,	103.22,	-1,	1,	-1
96.10,	97.16,	94.40,	96.25,	4501250.00,	11.97,	-88.03,	-0.03586096,	35991250.00,	99.10,	99.58,	99.87,	99.97,	75.04,	99.73,	102.59,	-1,	-1,	1
97.00,	98.95,	96.56,	98.58,	3111250.00,	27.04,	-72.96,	-0.02231479,	39102500.00,	98.85,	99.38,	99.55,	99.75,	70.74,	99.70,	101.88,	1,	1,	1
99.60,	100.40,	98.30,	98.85,	1048750.00,	28.78,	-71.22,	-0.03221069,	40151250.00,	98.46,	99.33,	98.76,	99.74,	68.89,	99.74,	100.90,	1,	1,	-1
99.12,	100.58,	98.53,	99.74,	3466250.00,	34.54,	-65.46,	0.03389655,	43617500.00,	97.98,	99.36,	97.37,	99.73,	69.90,	99.88,	100.09,	1,	-1,	1
99.80,	101.00,	98.80,	100.10,	3258750.00,	46.42,	-53.58,	0.04000000,	46876250.00,	98.70,	99.46,	98.11,	99.79,	71.45,	99.55,	99.77,	1,	1,	1
100.23,	102.24,	100.06,	101.16,	5910000.00,	78.70,	-21.30,	0.02617164,	52786250.00,	99.69,	99.40,	99.26,	99.36,	69.83,	99.43,	99.65,	1,	1,	1
101.21,	102.90,	100.76,	101.46,	6370000.00,	82.19,	-17.81,	0.02640364,	59156250.00,	100.26,	99.56,	99.82,	99.31,	67.43,	99.20,	99.70,	1,	1,	1
101.80,	102.06,	100.70,	101.17,	3385000.00,	78.81,	-21.19,	0.01433728,	55771250.00,	100.73,	99.59,	100.44,	99.08,	68.00,	98.58,	99.79,	-1,	1,	-1
101.60,	103.94,	101.24,	103.56,	7608750.00,	96.02,	-3.98,	0.03456543,	63380000.00,	101.49,	99.73,	101.03,	98.64,	68.45,	99.02,	99.99,	1,	-1,	1
104.20,	106.18,	103.74,	105.89,	7177500.00,	97.54,	-2.46,	0.04675761,	70557500.00,	102.65,	100.68,	101.88,	99.41,	63.00,	100.03,	99.90,	1,	1,	1
106.10,	107.60,	106.05,	106.98,	4828750.00,	95.30,	-4.70,	0.05440568,	75386250.00,	103.81,	101.75,	102.76,	100.41,	57.12,	100.83,	100.05,	1,	1,	1
107.62,	109.80,	106.85,	109.38,	6803750.00,	97.27,	-2.73,	0.08115054,	82190000.00,	105.40,	102.83,	104.07,	101.18,	55.90,	101.73,	100.18,	1,	1,	1
108.24,	110.38,	107.40,	107.97,	4690000.00,	84.92,	-15.08,	0.04258401,	77500000.00,	106.76,	103.74,	105.94,	102.07,	50.43,	102.57,	100.08,	-1,	1,	-1
108.02,	108.20,	104.08,	104.88,	3506250.00,	65.58,	-34.42,	-0.00953820,	73993750.00,	107.02,	104.26,	107.09,	102.89,	50.50,	103.33,	100.68,	-1,	-1,	-1
104.02,	106.10,	103.42,	104.16,	4322500.00,	61.08,	-38.92,	-0.02636007,	69671250.00,	106.67,	104.66,	107.35,	103.72,	60.22,	104.00,	101.51,	-1,	-1,	1
