c,gamma,dist+plus_actual,dist_minus_act,pred_plus_train,pred_minus_train,pred_plus_test,pred_minus_test,pred_tain_accuracy_tot,pred_train_acc_plus,pred_train_acc_minus,pre_test_acc_tot,pred_test_acc_plus,pred_test_acc_minus,ret_pt_tot_train,ret_pt_tot_plus,ret_pt_train_minus,ret_pt_cor_train,ret_pt_inc_train,rt_pt_tot_test,rt_pt_plus_test,rt_pt_minus_test,rt_pt_cor_test,ret_pt_inc_test
1000,0.0103092784,54.0833333333,45.9166666667,67.967967968,32.032032032,75.1243781095,24.8756218905,58.3583583584,58.7628865979,57.5,52.736318408,56.2913907285,42,0.2199100013,0.1805040977,0.3033866817,1.1457829072,-1.0714390516,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0102040816,54.0833333333,45.9166666667,67.8678678679,32.1321321321,75.1243781095,24.8756218905,58.4584584585,58.8495575221,57.6323987539,52.736318408,56.2913907285,42,0.2209503384,0.1815367823,0.3040615327,1.1447125404,-1.0727597959,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0101010101,54.0833333333,45.9166666667,67.7677677678,32.2322322322,75.1243781095,24.8756218905,58.3583583584,58.788774003,57.4534161491,52.736318408,56.2913907285,42,0.2199721054,0.1810824035,0.3016043589,1.145836223,-1.0713646901,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.01,54.0833333333,45.9166666667,67.5675675676,32.4324324324,75.1243781095,24.8756218905,58.1581581582,58.6666666667,57.0987654321,52.736318408,56.2913907285,42,0.2097553803,0.1740538441,0.2840145754,1.1409794269,-1.0784378843,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0099009901,54.0833333333,45.9166666667,67.4674674675,32.5325325325,75.1243781095,24.8756218905,58.2582582583,58.7537091988,57.2307692308,52.736318408,56.2913907285,42,0.2137346368,0.1772622467,0.2892526224,1.142441005,-1.0762584571,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0098039216,54.0833333333,45.9166666667,67.1671671672,32.8328328328,75.1243781095,24.8756218905,58.1581581582,58.7183308495,57.012195122,52.736318408,56.2913907285,42,0.2096418232,0.1750053026,0.280388759,1.1408816037,-1.0785732064,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0097087379,54.0833333333,45.9166666667,67.0670670671,32.9329329329,75.1243781095,24.8756218905,58.2582582583,58.8059701493,57.1428571429,52.736318408,56.2913907285,42,0.2191672078,0.1823711152,0.2939859294,1.1471128294,-1.0697691927,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0096153846,54.0833333333,45.9166666667,66.7667667668,33.2332332332,75.1243781095,24.8756218905,57.957957958,58.6206896552,56.6265060241,52.736318408,56.2913907285,42,0.2157291862,0.1808849902,0.2853132541,1.1500845197,-1.0662417572,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0095238095,54.0833333333,45.9166666667,66.7667667668,33.2332332332,75.1243781095,24.8756218905,57.957957958,58.6206896552,56.6265060241,52.736318408,56.2913907285,42,0.2157291862,0.1808849902,0.2853132541,1.1500845197,-1.0662417572,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0094339623,54.0833333333,45.9166666667,66.6666666667,33.3333333333,75.1243781095,24.8756218905,58.0580580581,58.7087087087,56.7567567568,52.736318408,56.2913907285,42,0.2171202181,0.1822019519,0.286539816,1.14930198,-1.067120689,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0093457944,54.0833333333,45.9166666667,66.3663663664,33.6336336336,75.1243781095,24.8756218905,57.957957958,58.6726998492,56.5476190476,52.736318408,56.2913907285,42,0.2155678061,0.1818544762,0.2816977992,1.1499450193,-1.0664331571,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0092592593,54.0833333333,45.9166666667,66.3663663664,33.6336336336,75.1243781095,24.8756218905,57.957957958,58.6726998492,56.5476190476,52.736318408,56.2913907285,42,0.2155678061,0.1818544762,0.2816977992,1.1499450193,-1.0664331571,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0091743119,54.0833333333,45.9166666667,66.2662662663,33.7337337337,75.1243781095,24.8756218905,57.8578578579,58.6102719033,56.3798219585,52.736318408,56.2913907285,42,0.2108447735,0.1785583685,0.2738937413,1.1478447895,-1.0695004022,0.0370504571,0.0636178853,-0.043183176,1.0842846293,-1.1314424087
1000,0.0090909091,54.0833333333,45.9166666667,66.2662662663,33.7337337337,74.6268656716,25.3731343284,57.8578578579,58.6102719033,56.3798219585,53.2338308458,56.6666666667,43.137254902,0.2108447735,0.1785583685,0.2738937413,1.1478447895,-1.0695004022,0.1588190157,0.1456269388,0.197619242,1.1885225313,-1.0132903052
1000,0.009009009,54.0833333333,45.9166666667,66.2662662663,33.7337337337,74.1293532338,25.8706467662,57.8578578579,58.6102719033,56.3798219585,53.7313432836,57.0469798658,44.2307692308,0.2108447735,0.1785583685,0.2738937413,1.1478447895,-1.0695004022,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0089285714,54.0833333333,45.9166666667,66.2662662663,33.7337337337,74.1293532338,25.8706467662,57.8578578579,58.6102719033,56.3798219585,53.7313432836,57.0469798658,44.2307692308,0.2108447735,0.1785583685,0.2738937413,1.1478447895,-1.0695004022,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0088495575,54.0833333333,45.9166666667,66.2662662663,33.7337337337,74.1293532338,25.8706467662,57.8578578579,58.6102719033,56.3798219585,53.7313432836,57.0469798658,44.2307692308,0.2108447735,0.1785583685,0.2738937413,1.1478447895,-1.0695004022,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0087719298,54.0833333333,45.9166666667,65.965965966,34.034034034,74.1293532338,25.8706467662,57.7577577578,58.5735963581,56.1764705882,53.7313432836,57.0469798658,44.2307692308,0.2071031374,0.1765295161,0.2660154663,1.1465885607,-1.0713947145,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0086956522,54.0833333333,45.9166666667,65.965965966,34.034034034,74.1293532338,25.8706467662,57.7577577578,58.5735963581,56.1764705882,53.7313432836,57.0469798658,44.2307692308,0.2071031374,0.1765295161,0.2660154663,1.1465885607,-1.0713947145,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
1000,0.0086206897,54.0833333333,45.9166666667,65.965965966,34.034034034,74.1293532338,25.8706467662,57.7577577578,58.5735963581,56.1764705882,53.7313432836,57.0469798658,44.2307692308,0.2071031374,0.1765295161,0.2660154663,1.1465885607,-1.0713947145,0.1819483981,0.1622049916,0.2385208514,1.1990408683,-0.9991912447
