0,1,2,3,4,5,6,7,8,9
Date,I1,I2,I3,I4,I5,I6,I7,Output NSE Intraday Change,Intraday Change Value
67,0.0349,0.0087,-0.0001,-0.0092,0.0141,0.0244,0,0,0.005
68,0.0413,0.0116,0.0217,-0.0026,0.025,0.0294,0.0101,1,0.005
69,0.001,0.0176,0.0014,0.0053,0.0266,0.0281,0.0043,1,0.005
70,-0.0197,-0.0078,0.0023,-0.0008,-0.0207,-0.0273,0.0015,1,0.005
71,0.0128,-0.007,-0.0064,-0.0041,0.0059,0.0035,-0.0067,-1,0.005
72,0,0.0141,0.0001,0.0018,0.0269,0.0352,-0.0025,1,0.005
73,-0.0205,-0.0043,-0.0095,0.0055,-0.0322,-0.0298,0.008,1,0.005
75,0.016,0.0007,0.0103,0.0007,-0.0143,-0.0102,0.0029,1,0.005
76,0.0448,0.0064,0.0249,0.0015,0.0111,0.0133,0.0042,-1,0.005
77,0.0127,0.0058,-0.0062,0.005,0.0121,0.0215,0.0021,1,0.005
78,0.0053,0.0088,0.0277,0.0044,0.0013,0.0002,0.0092,1,0.005
79,-0.008,0.0022,-0.0029,0.0049,0.0071,0.0085,-0.0011,1,0.005
80,-0.0097,-0.0015,0.0131,-0.0002,0.0092,0.013,0.0013,1,0.005
81,0.0309,0.0137,-0.0098,0.0053,0.0395,0.05,0.0037,1,0.005
82,-0.0284,-0.0016,0.0183,-0.0001,-0.0214,-0.013,0.0101,1,0.005
83,0.049,0.0094,-0.0082,0.0076,-0.0137,-0.0059,0.0087,-1,0.005
85,-0.0124,-0.022,0.0035,-0.0053,-0.0087,-0.0039,0.0014,1,0.005
86,-0.0155,0.0152,-0.0098,0.0078,0.0202,0.0241,0.0048,-1,0.005
87,0.0187,-0.0088,-0.0049,0.0023,-0.0176,-0.0128,0.0038,1,0.005
88,0,0.0032,0.0249,0.0018,0.0312,0.0292,0.0049,-1,0.005
90,-0.0056,0.0111,-0.0056,0,0.0077,0,-0.012,-1,0.005
91,0,-0.0125,0.0033,-0.0004,-0.0363,-0.0418,-0.0076,1,0.005
92,-0.0066,0.003,-0.0056,-0.0056,0.0044,0.0076,-0.0057,-1,0.005
93,0.0094,0.0217,0.0049,-0.0018,-0.0112,-0.0125,0.0031,1,0.005
94,-0.0136,-0.0137,-0.0192,0.0026,-0.0031,-0.0132,-0.0013,-1,0.005
95,0.0171,-0.0253,-0.0141,0.0045,-0.025,-0.0246,-0.0102,-1,0.005
96,-0.0278,-0.0036,0.0004,-0.0139,0.0144,0.0008,0.0004,-1,0.005
97,-0.0117,-0.0204,0.0055,-0.0003,-0.0115,-0.0169,-0.0134,1,0.005
98,-0.0403,-0.0135,-0.0042,-0.0036,-0.021,-0.0278,-0.0054,-1,0.005
99,0.0207,-0.0021,-0.0036,0.006,0.0059,0.0055,-0.0069,-1,0.005
100,-0.0159,-0.0126,0.0033,-0.0063,0.0097,0.0103,-0.0004,1,0.005
101,0.0209,-0.0007,-0.009,-0.0048,0.0367,0.0497,0.0006,1,0.005
102,0.0264,0.0132,-0.0137,0.002,0.0111,0.0103,0.0125,1,0.005
103,0.0022,-0.0067,-0.011,-0.0062,0.0048,0.011,-0.0009,1,0.005
104,0.0683,-0.0052,0.0175,-0.0017,0.0203,0.0159,0.0062,1,0.005
105,-0.0047,0.0031,-0.003,0.008,-0.0042,-0.017,-0.0043,1,0.005
106,0.0253,-0.0195,-0.0016,-0.0169,-0.0264,-0.0128,-0.0128,-1,0.005
107,-0.0266,0.0075,0.0205,-0.0124,0.0148,0.0057,0.0139,-1,0.005
108,-0.0104,-0.0068,-0.0123,0.0003,-0.0037,-0.0002,-0.009,1,0.005
109,-0.0012,0.0045,-0.0117,0.0012,0.0228,0.024,0.0035,-1,0.005
110,-0.0023,0.0069,0.0054,0.0016,-0.002,0.0065,0.0011,1,0.005
112,0.0063,0.0176,0.0319,-0.012,0.0294,0.0478,0.0009,1,0.005
113,0.0396,0.0306,0.0063,-0.0013,0.0294,0.0516,0.0179,1,0.005
114,-0.0159,0.0138,0.0162,0.0038,-0.036,-0.0325,0.0216,1,0.005
115,-0.0056,-0.0206,0.0032,-0.0022,-0.0507,-0.0493,0.0037,-1,0.005
116,0.0056,-0.0063,0.0132,-0.0074,0.0328,0.0348,0.0014,-1,0.005
117,0.0107,0.0058,-0.0063,0.0004,-0.0411,-0.0136,0.0019,1,0.005
118,-0.0488,0.0144,-0.0074,-0.0081,-0.0738,-0.0881,0.0286,-1,0.005
