'c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
15,0.0135135135,55.5370524563,44.4629475437,86.3136863137,13.6863136863,84,16,58.8411588412,58.1018518519,63.503649635,61.5,61.3095238095,62.5,0.584456272,0.5352673401,0.8946696822,2.5424095938,-2.2146566079,0.4128473707,0.4428435292,0.2553675383,1.7875644228,-1.7831292191
15,0.0131578947,55.5370524563,44.4629475437,86.6133866134,13.3866133866,85,15,58.5414585415,57.9008073818,62.6865671642,61.5,61.1764705882,63.3333333333,0.5597106572,0.5191301057,0.8222728824,2.5342902228,-2.2284908498,0.4396659748,0.4534092548,0.3617873879,1.809368166,-1.748299863
50,0.0082644628,55.5370524563,44.4629475437,84.6153846154,15.3846153846,83,17,59.7402597403,58.7957497048,64.9350649351,61.5,61.4457831325,61.7647058824,0.7006454292,0.6146678335,1.1735222053,2.6013911771,-2.1198160032,0.4047335201,0.4432911317,0.216481652,1.7809677963,-1.7936666873
50,0.0081300813,55.5370524563,44.4629475437,84.6153846154,15.3846153846,84,16,59.7402597403,58.7957497048,64.9350649351,61.5,61.3095238095,62.5,0.7006454292,0.6146678335,1.1735222053,2.6013911771,-2.1198160032,0.4260023728,0.4506738876,0.2964769198,1.7982595464,-1.7660448008
50,0.0080645161,55.5370524563,44.4629475437,84.6153846154,15.3846153846,84,16,59.7402597403,58.7957497048,64.9350649351,61.5,61.3095238095,62.5,0.7006454292,0.6146678335,1.1735222053,2.6013911771,-2.1198160032,0.4260023728,0.4506738876,0.2964769198,1.7982595464,-1.7660448008
50,0.008,55.5370524563,44.4629475437,84.8151848152,15.1848151848,84,16,59.7402597403,58.7750294464,65.1315789474,61.5,61.3095238095,62.5,0.68779917,0.6056467636,1.1466635981,2.5906394167,-2.1357702283,0.4260023728,0.4506738876,0.2964769198,1.7982595464,-1.7660448008
50,0.007751938,55.5370524563,44.4629475437,85.8141858142,14.1858141858,87,13,59.3406593407,58.4400465658,64.7887323944,61.5,60.9195402299,65.3846153846,0.6531182833,0.578389195,1.1051766416,2.5788629418,-2.157427975,0.4714368648,0.4612451858,0.539642717,1.8351981579,-1.7070389669
50,0.0076923077,55.5370524563,44.4629475437,85.8141858142,14.1858141858,87,13,59.3406593407,58.4400465658,64.7887323944,61.5,60.9195402299,65.3846153846,0.6531182833,0.578389195,1.1051766416,2.5788629418,-2.157427975,0.4714368648,0.4612451858,0.539642717,1.8351981579,-1.7070389669
50,0.0076335878,55.5370524563,44.4629475437,85.9140859141,14.0859140859,87,13,59.2407592408,58.3720930233,64.5390070922,61.5,60.9195402299,65.3846153846,0.6438444211,0.5723194773,1.0800958516,2.5753845183,-2.1635165535,0.4714368648,0.4612451858,0.539642717,1.8351981579,-1.7070389669
50,0.0075757576,55.5370524563,44.4629475437,86.013986014,13.986013986,87,13,59.1408591409,58.3042973287,64.2857142857,61.5,60.9195402299,65.3846153846,0.6419271931,0.5705402762,1.0809567317,2.5781139303,-2.1605729254,0.4714368648,0.4612451858,0.539642717,1.8351981579,-1.7070389669
