'c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
465,0.0243701134,52.6473526474,47.3526473526,65.825446898,34.174553102,90,10,61.8296529968,61.1821086262,63.0769230769,50,48.8888888889,60,0.3999368367,0.3848788146,0.4289409039,1.3761586504,-1.1813811426,0.2145814378,0.2472725767,-0.0796388129,1.2263381941,-0.7971753186
465,0.0143353608,52.6473526474,47.3526473526,67.087276551,32.912723449,98,2,61.8296529968,60.9717868339,63.5782747604,50,48.9795918367,100,0.4110636381,0.3859324953,0.4622894181,1.3851565996,-1.1668059523,0.2407943677,0.2404610041,0.2571291833,1.252551124,-0.7709623887
465,0.0084325652,52.6473526474,47.3526473526,69.7160883281,30.2839116719,100,0,60.4626708728,59.5776772247,62.5,48,48,nan,0.3565783773,0.3323034547,0.412461272,1.3714162418,-1.195367825,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
465,0.0049603325,52.6473526474,47.3526473526,72.5552050473,27.4447949527,100,0,58.8853838065,58.115942029,60.9195402299,48,48,nan,0.3253870091,0.2978053549,0.3983040259,1.3816657919,-1.187441938,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
465,0.0029178426,52.6473526474,47.3526473526,73.7118822292,26.2881177708,100,0,58.3596214511,57.6319543509,60.4,48,48,nan,0.2854750293,0.2660592704,0.3399168175,1.3599183731,-1.2203735963,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
465,0.001716378,52.6473526474,47.3526473526,74.658254469,25.341745531,100,0,58.0441640379,57.323943662,60.1659751037,48,48,nan,0.2704365175,0.2526151213,0.3229393859,1.3543548635,-1.2291196906,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
465,0.0010096341,52.6473526474,47.3526473526,79.4952681388,20.5047318612,100,0,56.992639327,56.2169312169,60,48,48,nan,0.2167931921,0.2035044113,0.2683127731,1.3322813348,-1.2614331486,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
465,0.0005939024,52.6473526474,47.3526473526,80.1261829653,19.8738170347,100,0,56.5720294427,55.905511811,59.2592592593,48,48,nan,0.179532918,0.1786510165,0.1830885207,1.3092550615,-1.2921148138,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
465,0.0003493544,52.6473526474,47.3526473526,82.0189274448,17.9810725552,100,0,55.9411146162,55.3846153846,58.4795321637,48,48,nan,0.1544801327,0.1592557374,0.1326966725,1.3016289919,-1.3020430012,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
465,0.0002055026,52.6473526474,47.3526473526,86.8559411146,13.1440588854,100,0,55.3101997897,54.7215496368,59.2,48,48,nan,0.1552984228,0.1508578355,0.1846418236,1.3172161989,-1.2827456955,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
